Cuisine,Score,Year
Kazakhstan, 3.91, 2023
Albania, 3.90, 2023
Kyrgyzstan, 3.90, 2023
Myanmar, 3.90, 2023
New Zealand, 3.89, 2023
Saudi Arabia, 3.89, 2023
Northern Ireland, 3.89, 2023
Bahamas, 3.89, 2023
Dominican Republic, 3.88, 2023
Wales, 3.88, 2023
Ghana, 3.88, 2023
Italy, 4.72, 2022
Greece, 4.68, 2022
Spain, 4.59, 2022
Japan, 4.59, 2022
India, 4.54, 2022
Mexico, 4.53, 2022
Turkiye, 4.52, 2022
United States, 4.51, 2022
France, 4.51, 2022
Peru, 4.51, 2022
China, 4.49, 2022
Brazil, 4.49, 2022
Portugal, 4.47, 2022
Poland, 4.44, 2022
Germany, 4.37, 2022
Indonesia, 4.37, 2022
Croatia, 4.33, 2022
Argentina, 4.33, 2022
South Korea, 4.31, 2022
Vietnam, 4.31, 2022
Hungary, 4.26, 2022
Romania, 4.25, 2022
Philippines, 4.25, 2022
Iran, 4.23, 2022
Serbia, 4.23, 2022
Georgia, 4.23, 2022
Czech Republic, 4.21, 2022
Bulgaria, 4.20, 2022
England, 4.18, 2022
Thailand, 4.16, 2022
Belgium, 4.14, 2022
Netherlands, 4.10, 2022
Austria, 4.09, 2022
Algeria, 4.07, 2022
Denmark, 4.05, 2022
South Africa, 4.03, 2022
Syria, 4.03, 2022
Bosnia & Herzegovina, 3.99, 2022
Malaysia, 3.99, 2022
Lebanon, 3.99, 2022
Ukraine, 3.98, 2022
Palestine, 3.98, 2022
Bangladesh, 3.97, 2022
Lithuania, 3.96, 2022
Taiwan, 3.96, 2022
Paraguay, 3.96, 2022
Pakistan, 3.96, 2022
Tunisia, 3.95, 2022
Uruguay, 3.95, 2022
Slovakia, 3.94, 2022
Egypt, 3.94, 2022
Singapore, 3.94, 2022
Afghanistan, 3.94, 2022
Ecuador, 3.93, 2022
Ethiopia, 3.93, 2022
Belarus, 3.93, 2022
Haiti, 3.92, 2022
Russia, 3.92, 2022
North Macedonia, 3.92, 2022
Cuba, 3.92, 2022
Sri Lanka, 3.92, 2022
Sweden, 3.91, 2022
Chile, 3.91, 2022
Jamaica, 3.91, 2022
Slovenia, 3.91, 2022
Bolivia, 3.91, 2022
Venezuela, 3.91, 2022
Albania, 3.91, 2022
Northern Ireland, 3.91, 2022
Nigeria, 3.91, 2022
Colombia, 3.90, 2022
Finland, 3.90, 2022
Ireland, 3.90, 2022
Cyprus, 3.90, 2022
Estonia, 3.90, 2022
New Zealand, 3.89, 2022
Guatemala, 3.89, 2022
El Salvador, 3.88, 2022
Trinidad and Tobago, 3.88, 2022
Wales, 3.88, 2022
Israel, 3.85, 2022
Azerbaijan, 3.85, 2022
Honduras, 3.85, 2022
Costa Rica, 3.85, 2022
Saudi Arabia, 3.85, 2022
Malta, 3.84, 2022
Switzerland, 3.82, 2022
Scotland, 3.82, 2022
Australia, 3.80, 2022
Armenia, 3.80, 2022
Iceland, 3.80, 2022
Canada, 3.79, 2022
Latvia, 3.79, 2022
Morocco, 3.69, 2022
Norway, 3.58, 2022
Italy, 4.70, 2010
France, 4.69, 2010
Spain, 4.67, 2010
Greece, 4.66, 2010
Mexico, 4.64, 2010
Thailand, 4.63, 2010
India, 4.62, 2010
Turkey, 4.61, 2010
China, 4.60, 2010
Vietnam, 4.59, 2010
Japan, 4.58, 2010
Argentina, 4.57, 2010
Lebanon, 4.56, 2010
Peru, 4.55, 2010
Brazil, 4.54, 2010
Korea, 4.53, 2010
Germany, 4.52, 2010
Portugal, 4.51, 2010
USA, 4.50, 2010
Morocco, 4.49, 2010
Indonesia, 4.48, 2010
Sweden, 4.47, 2010
Russia, 4.46, 2010
Malaysia, 4.45, 2010
Hungary, 4.44, 2010
Iran, 4.43, 2010
Australia, 4.42, 2010
Belgium, 4.41, 2010
Philippines, 4.40, 2010
Poland, 4.39, 2010
Egypt, 4.38, 2010
Tunisia, 4.37, 2010
Chile, 4.36, 2010
South Africa, 4.35, 2010
Norway, 4.34, 2010
Israel, 4.33, 2010
Cuba, 4.32, 2010
Serbia, 4.31, 2010
Austria, 4.30, 2010
Netherlands, 4.29, 2010
Switzerland, 4.28, 2010
Czech Republic, 4.27, 2010
Colombia, 4.26, 2010
Venezuela, 4.25, 2010
Jamaica, 4.24, 2010
Saudi Arabia, 4.23, 2010
Bolivia, 4.22, 2010
Croatia, 4.21, 2010
Finland, 4.20, 2010
Slovakia, 4.19, 2010
Pakistan, 4.18, 2010
Iraq, 4.17, 2010
Syria, 4.16, 2010
Georgia, 4.15, 2010
Bangladesh, 4.14, 2010
Sri Lanka, 4.13, 2010
UAE, 4.12, 2010
Romania, 4.11, 2010
Bulgaria, 4.10, 2010
Ukraine, 4.09, 2010
Singapore, 4.08, 2010
Denmark, 4.07, 2010
New Zealand, 4.06, 2010
Armenia, 4.05, 2010
Afghanistan, 4.04, 2010
Ethiopia, 4.03, 2010
Algeria, 4.02, 2010
Kazakhstan, 4.01, 2010
Estonia, 4.00, 2010
Kenya, 3.99, 2010
Lithuania, 3.98, 2010
Uzbekistan, 3.97, 2010
Yemen, 3.96, 2010
Oman, 3.95, 2010
Sudan, 3.94, 2010
Somalia, 3.93, 2010
Kuwait, 3.92, 2010
Latvia, 3.91, 2010
Nepal, 3.90, 2010
Cambodia, 3.89, 2010
Myanmar, 3.88, 2010
Jordan, 3.87, 2010
Belarus, 3.86, 2010
Luxembourg, 3.85, 2010
Libya, 3.84, 2010
Uruguay, 3.83, 2010
Palestine, 3.82, 2010
Qatar, 3.81, 2010
Cyprus, 3.80, 2010
Iceland, 3.79, 2010
Mongolia, 3.78, 2010
Bahrain, 3.77, 2010
Malta, 3.76, 2010
Panama, 3.75, 2010
Madagascar, 3.74, 2010
Bhutan, 3.73, 2010
Albania, 3.72, 2010
Guatemala, 3.71, 2010
Montenegro, 3.70, 2010
Mozambique, 3.69, 2010
